faculty_url,faculty_name,lab_name,lab_url,evidence_snippet
https://cs.illinois.edu/about/people/all-faculty/zaher,Tarek Abdelzaher,CPS/IoT Lab,,"He has authored/coauthored more than 400 refereed publications in real-time computing, CPS/IoT, distributed systems, intelligent networked sensing, machine learning, and control."
https://cs.illinois.edu/about/people/all-faculty/zaher,Tarek Abdelzaher,Machine Learning Lab,,"He has authored/coauthored more than 400 refereed publications in real-time computing, CPS/IoT, distributed systems, intelligent networked sensing, machine learning, and control."
https://cs.illinois.edu/about/people/all-faculty/sadve,Sarita V Adve,IMMERSE: Center for Immersive Computing,,"CS professor and Lead PI Brighten Godfrey is joined by Co-PI CS professor Sarita Adve. Illinois is the lead institution on the award, collaborating with the IMMERSE: Center for Immersive Computing and Carle Illinois College of Medicine."
https://cs.illinois.edu/about/people/all-faculty/vadve,Vikram Adve,Computer Science Department,,"Research Areas: Compilers, Architecture, and Parallel Computing; Programming Languages / Formal Methods / Software Engineering; Security and Privacy."
https://cs.illinois.edu/about/people/all-faculty/vadve,Vikram Adve,Coordinated Science Laboratory,,"Research Areas: Compilers, Architecture, and Parallel Computing; Programming Languages / Formal Methods / Software Engineering; Security and Privacy."
https://cs.illinois.edu/about/people/all-faculty/vadve,Vikram Adve,Information Trust Institute,,"Research Areas: Compilers, Architecture, and Parallel Computing; Programming Languages / Formal Methods / Software Engineering; Security and Privacy."
https://cs.illinois.edu/about/people/all-faculty/saksham,Saksham Agarwal,Agarwal Lab,https://cs.illinois.edu/about/people/all-faculty/saksham,"Assistant Professor, Electrical and Computer Engineering"
https://cs.illinois.edu/about/people/all-faculty/agha,Gul A Agha,Concurrent Computing Lab,,"Research Interests: Parallel and Distributed Algorithms and Applications, Network Embedded Systems Software, Large-scale Multi-agent Systems, Concurrent Programming Languages and Semantics"
https://cs.illinois.edu/about/people/all-faculty/alabid,Daniel Alabi,Security and Privacy Lab,,"Assistant Professor, Electrical and Computer Engineering"
https://cs.illinois.edu/about/people/all-faculty/alabid,Daniel Alabi,Theoretical Computer Science Group,,"Assistant Professor, Electrical and Computer Engineering"
