lab_name,canonical_url,source_faculty_count,professors,departments,llm_evidence_count
Coordinated Science Laboratory,,5,Ivan Thomas Abraham|Minh N Do|Rainer Engelken|Ruta Mehta|Yaoyao Liu,cs|ece,16
Artificial Intelligence Lab,,3,Ge Liu|Jiawei Han|Liangyan Gui,cs,7
Computer Vision Lab,,3,Margaret M. Fleck|Saurabh Gupta|Svetlana Lazebnik,cs,9
School of Information Sciences,,3,Jingrui He|Masooda N Bashir|Yun Huang,cs,10
Siebel School of Computing and Data Science,,3,Daniel Kang|Kaiyu Guan|Yichun He,cs,7
Algorithms and Theory Lab,,2,Chandra Chekuri|Sariel Har-Peled,cs,6
Computer Security Lab,,2,Nikita Borisov|Varun Chandrasekaran,cs,6
Department of Computer Science,,2,Maria Jesus Garzaran|Rainer Engelken,cs,7
Department of Electrical and Computer Engineering,,2,Mohammed El-Kebir|Rainer Engelken,cs,10
Human-Computer Interaction Lab,,2,Dominic Kao|Tal August,cs,3
National Center for Supercomputing Applications,,2,Bill Kramer|Mohammed El-Kebir,cs,7
Natural Language Processing Lab,,2,Julia Hockenmaier|Suma Bhat,cs,4
Security and Privacy Lab,,2,Camille Cobb|Daniel Alabi,cs,7
ADAPT Group,,1,Charith Mendis,cs,2
Advanced Controls Research Laboratory,,1,Naira Hovakimyan,cs,3
Aerospace Engineering,,1,Timothy Bretl,cs,2
Agroecosystem Sustainability Center,,1,Kaiyu Guan,cs,3
AI Research Group,,1,Margaret M. Fleck,cs,2
AImpact Center,,1,Ruta Mehta,cs,4
Alawini Lab,https://alawini.web.illinois.edu,1,Abdussalam Alawini,cs,4
Algebraic Complexity Theory Group,,1,Michael A. Forbes,cs,2
Algorithms Group,,1,Karthekeyan Chandrasekaran,cs,3
Amazon-Illinois Center on AI for Interactive Conversational Experiences (AICE),,1,Heng Ji,cs,3
Arindam Banerjee Research Group,,1,Arindam Banerjee,cs,3
Audio Research Lab,,1,Minje Kim,cs,2
AVIATE Center,,1,Naira Hovakimyan,cs,3
Beckman Institute for Advanced Science and Technology,,1,Minh N Do,cs,2
Bed Time Research Institute,,1,Sheldon H. Jacobson,cs,4
Bioinformatics Research Group,,1,Ge Liu,cs,2
Center for Artificial Intelligence and Modeling (CAIM),,1,Olgica Milenkovic,cs,4
