professor_name,department,profile_url,source_urls,personal_site_urls,labs,research_topics,research_description_detailed,recruitment_mentions,evidence_count
Tarek Abdelzaher,cs,https://cs.illinois.edu/about/people/all-faculty/zaher,https://cs.illinois.edu/about/people/all-faculty/zaher|https://abdelzaher.cs.illinois.edu/about.html|https://abdelzaher.cs.illinois.edu/people.html|https://abdelzaher.cs.illinois.edu/research.html|https://abdelzaher.cs.illinois.edu/papers.html|https://abdelzaher.cs.illinois.edu/index.html,https://abdelzaher.cs.illinois.edu/about.html,CyPhy Group,Social Sensing|Real-time Systems|Wireless Sensor Networks|Data Aggregation|Energy-efficient Networking|Machine Learning in Sensor Networks,"Tarek Abdelzaher's research involves developing real-time systems and frameworks primarily for wireless sensor networks. He focuses on social sensing, exploring how sensor and social media data can be integrated to analyze and interpret social patterns. He works on innovative strategies for data aggregation, minimizing energy consumption, and maximizing efficiency in sensor networks. His current projects include the use of machine learning methodologies to improve real-time data processing and analysis within these networks, ultimately aiming to address complex computational problems in smart environments.",,5
Rachel F. Adler,cs,https://cs.illinois.edu/about/people/all-faculty/radler,https://cs.illinois.edu/about/people/all-faculty/radler|https://www.rachelfadler.com/|https://www.rachelfadler.com/research.html|https://www.rachelfadler.com/publications.html|https://www.rachelfadler.com/index.html|https://www.rachelfadler.com/teaching.html,https://www.rachelfadler.com/,Human Computer Interaction Lab|Accessibility and Educational Technology Lab,mHealth applications|accessible design|computational thinking in education|gamification in learning|cyberbullying detection,"Rachel F. Adler focuses on the intersection of technology and accessibility in educational contexts and healthcare. Her current projects involve the design and implementation of mHealth applications aimed at cancer survivors with disabilities, combining technology with user-centered design principles. She co-directs initiatives to train teachers in integrating computer science into classrooms and is creating gamified experiences to enhance financial literacy among older adults. Additionally, she investigates the use of generative AI to promote physical activity in this demographic, leveraging gamification to improve engagement and motivation. Her work also includes analyzing algorithms for detecting cyberbullying on platforms like YouTube.",,6
Sarita V. Adve,cs,https://cs.illinois.edu/about/people/all-faculty/sadve,https://cs.illinois.edu/about/people/all-faculty/sadve|http://sadve.cs.illinois.edu/|http://sadve.cs.illinois.edu/index.html|http://sadve.cs.illinois.edu/teaching.html|http://sadve.cs.illinois.edu/policies.html|http://sadve.cs.illinois.edu/links.html,http://sadve.cs.illinois.edu/,IMMERSE Center for Immersive Computing,extended reality (XR) systems|domain-specific systems specialization|memory consistency models for C++ and Java|heterogeneous systems|hardware reliability|power management|instruction-level parallelism (ILP)|shared-memory multiprocessors,"Sarita V. Adve's research spans multiple layers of the system stack. She focuses on developing scalable specialization for domain-specific systems, especially in extended reality (XR) applications. Her work includes co-developing memory consistency models for programming languages such as C++ and Java, and creating the ILLIXR, an open-source extended reality testbed intended for research and benchmarking. Additionally, she investigates heterogeneous system architectures, power management techniques, and employs instruction-level parallelism (ILP) to enhance memory system performance. Her projects also examine hardware reliability and focus on architecture evaluation through simulation with RSIM.",,6
Vikram S. Adve,cs,https://cs.illinois.edu/about/people/all-faculty/vadve,https://cs.illinois.edu/about/people/all-faculty/vadve|https://vikram.cs.illinois.edu/|https://vikram.cs.illinois.edu/research-projects|https://vikram.cs.illinois.edu/research-group|https://vikram.cs.illinois.edu/bio|https://vikram.cs.illinois.edu/publications,https://vikram.cs.illinois.edu/,Center for Digital Agriculture|AIFARMS Institute,heterogeneous data analysis|IoT and sensor networks|computer vision|robotics|edge computing|machine learning with limited and sparse data|retargetable compiler infrastructure|parallel program representation|computational efficiency in heterogeneous systems,"Vikram S. Adve focuses on several interdisciplinary areas, combining computer science with agriculture through initiatives like the Center for Digital Agriculture, where he studies IoT, data analysis, and machine learning applications in agricultural settings. He leads the AIFARMS Institute aimed at integrating AI technologies into agricultural research. Additionally, he works on the HPVM project, which enhances programming for heterogeneous systems by developing a retargetable compiler infrastructure that simplifies performance portability across various hardware, including GPUs, CPUs, and FPGAs.",I am always looking for outstanding undergraduate students interested in research and/or programming experience.,4
Saksham Agarwal,cs,https://cs.illinois.edu/about/people/all-faculty/saksham,https://cs.illinois.edu/about/people/all-faculty/saksham,,Computer Architecture Lab|Networking Systems Lab,Computer Architecture|Systems and Networking|Communication Networks|Cloud Infrastructure,"Saksham Agarwal conducts research in computer architecture and networking systems, particularly focusing on the design and operation of communication networks. His work includes exploring modern cloud infrastructure solutions to improve system performance and reliability. Prof. Agarwal is also involved in teaching, where he conveys principles of networking and computing to students through courses on communication networks and cloud systems. His research aims to solve real-world problems in networking and infrastructure to advance the field further.",,3
Gul A Agha,cs,https://cs.illinois.edu/about/people/all-faculty/agha,https://cs.illinois.edu/about/people/all-faculty/agha,,,Parallel and Distributed Algorithms|Network Embedded Systems Software|Large-scale Multi-agent Systems|Concurrent Programming Languages and Semantics,"Gul Agha focuses on the development of parallel and distributed algorithms, particularly in relation to large-scale multi-agent systems. His work includes creating network embedded systems software and exploring concurrency through programming languages and semantics. He engages in practical applications, such as using wireless sensors to monitor structural integrity in civil infrastructure. His efforts also extend to enhancing the understanding of concurrent programming mechanisms.",,3
Daniel Alabi,cs,https://cs.illinois.edu/about/people/all-faculty/alabid,https://cs.illinois.edu/about/people/all-faculty/alabid|https://alabidan.me/|https://alabidan.me/papers|http://alabidan.me/,https://alabidan.me/,Electrical and Computer Engineering Department|Coordinated Science Lab|Siebel School of Computing and Data Science,privacy|information theory|cryptography|AI/ML security|differential privacy,"Daniel Alabi focuses on the theoretical aspects of privacy and secure communication, particularly within information theory and cryptography. His work examines the trade-offs involved in using computational resources such as communication, randomness, and time when implementing secure systems. Alabi also investigates the statistical resources required for effective machine learning, including classifying or regressing unknown distributions with an emphasis on differential privacy. His research aims to develop novel algorithms that are both efficient and robust against privacy breaches, especially in the context of AI and machine learning applications.",,4
Ram Alagappan,cs,https://cs.illinois.edu/about/people/all-faculty/ramn,https://cs.illinois.edu/about/people/all-faculty/ramn|https://ramalagappan.github.io/index.html,https://ramalagappan.github.io/index.html,Distributed And Storage Systems Laboratory (DASSL),storage systems|distributed systems|operating systems|real-time data infrastructure|fault-tolerant logging abstractions|CXL memory systems,"Ram Alagappan's work primarily involves developing modern systems and robust data infrastructures that prioritize reliability and efficiency. He focuses on creating real-time data infrastructures suited for applications requiring low latency, as well as innovating fault-tolerant logging abstractions that cater to contemporary application needs. Additionally, his research interests extend to CXL memory systems, where he aims to streamline data sharing in complex computing environments. Through his leadership in the Distributed And Storage Systems Laboratory, Alagappan engages in building practical yet principled abstractions to advance the fields of storage and distributed systems.","I am always looking for self-motivated, hardworking, and creative PhD students. If you are interested in systems (OS, memory, storage, distributed systems), please apply to the UIUC CS PhD program and mention my name in the application.",2
Abdussalam Alawini,cs,https://cs.illinois.edu/about/people/all-faculty/alawini,https://cs.illinois.edu/about/people/all-faculty/alawini,,,Scientific Data Management|Data Provenance|Database Systems|Computer Science Education,"Dr. Alawini's research encompasses the development of data management systems tailored for scientific applications, focusing on data citation and provenance. He employs machine learning techniques to enhance the educational experience in computer science, particularly through the analysis of student interactions and performance in database courses. His work also includes the design of innovative systems that facilitate collaborative learning, leveraging data-driven approaches to optimize teaching and curriculum development in computer science education.",,3
Nancy M. Amato,cs,https://cs.illinois.edu/about/people/all-faculty/namato,https://cs.illinois.edu/about/people/all-faculty/namato,,Parasol Lab,"approximate convex decomposition (ACD) for partitioning polyhedra|parallel algorithms, including novel approaches for parallel graph traversals|task planning and interaction in dynamic multi-robot systems|protein-drug interaction and binding site accessibility|sampling-based motion planning|computational geometry","Nancy M. Amato's day-to-day work involves researching and developing algorithms for multi-robot task planning and interaction in dynamic environments, ensuring effective collaboration among robots and humans. She applies her expertise in computational biology to analyze protein-drug interactions and binding site accessibility. In parallel and distributed computing, she works on the STAPL project to create efficient algorithms for handling large, dynamic graphs. Amato is also a co-leader of a multi-disciplinary NSF project called 'Mind in Vitro,' which aims to innovate computing systems using biological neurons, integrating biological research with computational techniques.",,5
Lawrence Angrave,cs,https://cs.illinois.edu/about/people/all-faculty/angrave,https://cs.illinois.edu/about/people/all-faculty/angrave,,Universal Design for Learning (UDL) and Accessibility Research Group,Accessible Education|Effective Computer Science Instruction|Universal Design for Learning|Augmented Reality in Education,"Lawrence Angrave's daily work involves researching and applying Universal Design for Learning (UDL) principles to improve accessibility in educational settings, particularly in computer science. He develops tools such as ScribeAR, which uses augmented reality for captioning in educational materials, aiming to support inclusive learning environments. His research also investigates the needs of students with disabilities in STEM education, utilizing methods like data analytics to enhance course content and delivery. Additionally, he evaluates the effectiveness of technology-enhanced learning tools that accommodate diverse learning preferences and accessibility requirements.",,3
